Wall Time, R_N_tot_ge_63, R_N_tot_le_66, R_N_b_eq_0, R_N_b_ge_1, R_N_b_ge_2, R_N_b_ge_3, Hd_x_ge_0, Hd_x_lt_0, Hd_y_ge_0, Hd_y_lt_0, FG_x_N_ge_0, FG_x_N_lt_0, FG_y_N_ge_0, FG_y_N_lt_0, abs_p_gt_theta, abs_q_gt_theta, abs_r_gt_theta, abs_R_FG_x_gt_theta, abs_R_FG_y_gt_theta, abs_R_FG_z_gt_theta, R_N_tot_eq_64
1346770286,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770287,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770288,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770289,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770290,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770291,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770292,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770293,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770294,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770295,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770296,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770297,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770298,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770299,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770300,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770301,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770302,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770303,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770304,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770305,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770306,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770307,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770308,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770309,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770310,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770311,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770312,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770313,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770314,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770315,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770316,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770317,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770318,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770319,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770320,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770321,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770322,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770323,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770324,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770325,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770326,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770327,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770328,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770329,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770330,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770331,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770332,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770333,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770334,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770335,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770336,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770337,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770338,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770339,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770340,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770341,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770342,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770343,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770344,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770345,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770346,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770347,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770348,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770349,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770350,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770351,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770352,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770353,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770354,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770355,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770356,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770357,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770358,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770359,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770360,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770361,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770362,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770363,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770364,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770365,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770366,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770367,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770368,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770369,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770370,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770371,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770372,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770373,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770374,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770375,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770376,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770377,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770378,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770379,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770380,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770381,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
