8924774,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
9130757,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9336757,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9546911,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9752570,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9958114,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
10164791,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
10369053,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
10575275,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
10787864,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
10993315,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
11198819,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
11404544,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
11608977,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
11812580,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
12018456,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
12223607,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
12429077,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
12634264,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
12839573,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
13046511,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
13251989,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
13458968,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
13663960,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
13868958,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
14079294,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
14282522,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
14486574,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
14690200,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
14894293,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
15098816,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
15303743,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
15508503,482393049,163770050,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
15711913,482393049,163770050,10,3,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
15917318,482393049,163770050,10,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16120835,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16325893,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16531297,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16735219,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16939568,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17143043,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17350156,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17554397,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17761227,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17966747,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18173347,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18376271,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18581408,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18787023,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18992128,482393049,163770050,10,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
