QGC WPL 110
0	1	0	16	0	0	0	0	48.2393074035644531	16.3770046234130859	584.3800048828125	1
1	0	3	22	15	0	0	0	48.2401466369628906	16.3770045999999994	28	1
2	0	3	16	0	0	0	0	48.2490455000000011	16.3770045999999994	200	1
3	0	3	16	0	0	0	0	48.2387230000000002	16.3880830000000017	200	1
4	0	3	16	0	0	0	0	48.2371800000000022	16.3874169999999992	200	1
5	0	3	16	0	0	0	0	48.2365185461577468	16.3856792449951172	200	1
6	0	3	16	0	0	0	0	48.2357932201471584	16.3852930068969727	200	1
7	0	3	16	0	0	0	0	48.2349213861129726	16.3831472396850586	200	1
8	0	3	16	0	0	0	0	48.2341352935102066	16.3827180862426758	200	1
9	0	3	16	0	0	0	0	48.2331062085767641	16.3802289962768555	200	1
10	0	3	16	0	0	0	0	48.2321735824784525	16.3797730207443237	200	1
11	0	3	16	0	0	0	0	48.2312123523518395	16.3774073123931885	200	1
12	0	3	16	0	0	0	0	48.2301224599194995	16.3769406080245972	200	1
13	0	3	16	0	0	0	0	48.2307339999999982	16.3816020000000009	200	1
14	0	3	16	0	0	0	0	48.2239999999999966	16.3820000000000014	200	1
15	0	3	16	0	0	0	0	48.2129062	16.3766166	200	1
16	0	3	16	0	0	0	0	48.1404308	16.2603911	200	1
17	0	3	16	0	0	0	0	47.9301460000000006	16.160609	200	1
18	0	3	16	0	0	0	0	47.9193330000000017	16.108768	200	1
19	0	3	16	0	0	0	0	47.9391170000000031	16.056583	100	1
